,precision,recall,f1-score,support
access/d-link/,1.0,1.0,1.0,2.0
camera/axis/,1.0,1.0,1.0,4.0
camera/d-link/,1.0,1.0,1.0,6.0
camera/linksys/,1.0,1.0,1.0,2.0
camera/microseven/,1.0,1.0,1.0,5.0
camera/sony/,1.0,1.0,1.0,6.0
dvr/zoom/,1.0,1.0,1.0,4.0
gateway/cradlepoint/,1.0,1.0,1.0,11.0
gateway/gateway/,1.0,1.0,1.0,5.0
modem/tp-link/,1.0,0.9968944099378882,0.9984447900466563,644.0
modem/zyxel/,1.0,1.0,1.0,1924.0
printer/brother/,1.0,1.0,1.0,29.0
printer/hp/,1.0,1.0,1.0,469.0
router/asus/,1.0,1.0,1.0,477.0
router/cisco/,1.0,1.0,1.0,3.0
router/d-link/,1.0,0.9987789987789988,0.9993891264508247,819.0
router/dd-wrt/,0.75,1.0,0.8571428571428571,3.0
router/linksys/,1.0,1.0,1.0,10.0
router/netgear/,1.0,1.0,1.0,30.0
router/tp-link/,0.9988653555219364,0.9996214988644966,0.9992432841468029,2642.0
router/trendnet/,1.0,1.0,1.0,1.0
router/zyxel/,1.0,1.0,1.0,2.0
switch/cisco/,1.0,1.0,1.0,4.0
switch/juniper/,1.0,1.0,1.0,1.0
switch/netgear/,1.0,1.0,1.0,2.0
video/axis/,1.0,1.0,1.0,3.0
accuracy,0.9994372537985369,0.9994372537985369,0.9994372537985369,0.9994372537985369
macro avg,0.9903409752123822,0.9998190349069762,0.9943930791456593,7108.0
weighted avg,0.9994727446945634,0.9994372537985369,0.9994471475296222,7108.0
